algorithm,evaluation,step,penalized_fitness
DE,50,0,151000.0
DE,100,1,101000.0
DE,150,2,101000.0
DE,200,3,101000.0
DE,250,4,101000.0
DE,300,5,51000.0
DE,350,6,51000.0
DE,400,7,51000.0
DE,450,8,51000.0
DE,500,9,51000.0
DE,550,10,51000.0
DE,600,11,51000.0
DE,650,12,51000.0
DE,700,13,51000.0
DE,750,14,51000.0
DE,800,15,51000.0
DE,850,16,51000.0
DE,900,17,51000.0
DE,950,18,51000.0
DE,1000,19,51000.0
DE,1050,20,51000.0
DE,1100,21,51000.0
DE,1150,22,51000.0
DE,1200,23,51000.0
DE,1250,24,51000.0
DE,1300,25,51000.0
DE,1350,26,51000.0
DE,1400,27,51000.0
DE,1450,28,51000.0
DE,1500,29,51000.0
DE,1550,30,51000.0
DE,1600,31,51000.0
DE,1650,32,51000.0
DE,1700,33,51000.0
DE,1750,34,51000.0
DE,1800,35,51000.0
DE,1850,36,51000.0
DE,1900,37,51000.0
DE,1950,38,51000.0
DE,2000,39,51000.0
DE,2050,40,51000.0
DE,2100,41,51000.0
DE,2150,42,51000.0
DE,2200,43,6649.2441
DE,2250,44,6649.2441
DE,2300,45,6649.2441
DE,2350,46,6649.2441
DE,2400,47,6649.2441
DE,2450,48,6649.2441
DE,2500,49,6649.2441
QPSO,50,0,101000.0
QPSO,100,1,101000.0
QPSO,150,2,101000.0
QPSO,200,3,101000.0
QPSO,250,4,51000.0
QPSO,300,5,51000.0
QPSO,350,6,51000.0
QPSO,400,7,51000.0
QPSO,450,8,51000.0
QPSO,500,9,51000.0
QPSO,550,10,51000.0
QPSO,600,11,51000.0
QPSO,650,12,51000.0
QPSO,700,13,51000.0
QPSO,750,14,51000.0
QPSO,800,15,51000.0
QPSO,850,16,51000.0
QPSO,900,17,51000.0
QPSO,950,18,51000.0
QPSO,1000,19,51000.0
QPSO,1050,20,51000.0
QPSO,1100,21,51000.0
QPSO,1150,22,51000.0
QPSO,1200,23,51000.0
QPSO,1250,24,51000.0
QPSO,1300,25,51000.0
QPSO,1350,26,51000.0
QPSO,1400,27,51000.0
QPSO,1450,28,51000.0
QPSO,1500,29,51000.0
QPSO,1550,30,51000.0
QPSO,1600,31,51000.0
QPSO,1650,32,51000.0
QPSO,1700,33,51000.0
QPSO,1750,34,51000.0
QPSO,1800,35,51000.0
QPSO,1850,36,51000.0
QPSO,1900,37,51000.0
QPSO,1950,38,51000.0
QPSO,2000,39,51000.0
QPSO,2050,40,51000.0
QPSO,2100,41,51000.0
QPSO,2150,42,51000.0
QPSO,2200,43,51000.0
QPSO,2250,44,51000.0
QPSO,2300,45,51000.0
QPSO,2350,46,51000.0
QPSO,2400,47,51000.0
QPSO,2450,48,51000.0
QPSO,2500,49,51000.0
Classical_GA,50,0,151000.0
Classical_GA,100,1,101000.0
Classical_GA,150,2,101000.0
Classical_GA,200,3,101000.0
Classical_GA,250,4,101000.0
Classical_GA,300,5,51000.0
Classical_GA,350,6,51000.0
Classical_GA,400,7,51000.0
Classical_GA,450,8,51000.0
Classical_GA,500,9,51000.0
Classical_GA,550,10,51000.0
Classical_GA,600,11,51000.0
Classical_GA,650,12,51000.0
Classical_GA,700,13,51000.0
Classical_GA,750,14,51000.0
Classical_GA,800,15,51000.0
Classical_GA,850,16,51000.0
Classical_GA,900,17,45834.4911
Classical_GA,950,18,45834.4911
Classical_GA,1000,19,45834.4911
Classical_GA,1050,20,45834.4911
Classical_GA,1100,21,45834.4911
Classical_GA,1150,22,45834.4911
Classical_GA,1200,23,45834.4911
Classical_GA,1250,24,39749.9038
Classical_GA,1300,25,39749.9038
Classical_GA,1350,26,39749.9038
Classical_GA,1400,27,39749.9038
Classical_GA,1450,28,39749.9038
Classical_GA,1500,29,39749.9038
Classical_GA,1550,30,39749.9038
Classical_GA,1600,31,39749.9038
Classical_GA,1650,32,39749.9038
Classical_GA,1700,33,39749.9038
Classical_GA,1750,34,39749.9038
Classical_GA,1800,35,39749.9038
Classical_GA,1850,36,39749.9038
Classical_GA,1900,37,39749.9038
Classical_GA,1950,38,39749.9038
Classical_GA,2000,39,39749.9038
Classical_GA,2050,40,39749.9038
Classical_GA,2100,41,39749.9038
Classical_GA,2150,42,39749.9038
Classical_GA,2200,43,34579.342
Classical_GA,2250,44,34226.4113
Classical_GA,2300,45,34226.4113
Classical_GA,2350,46,34226.4113
Classical_GA,2400,47,34226.4113
Classical_GA,2450,48,34226.4113
Classical_GA,2500,49,32245.7305
NSGA_III,50,0,151000.0
NSGA_III,100,1,101000.0
NSGA_III,150,2,101000.0
NSGA_III,200,3,51000.0
NSGA_III,250,4,51000.0
NSGA_III,300,5,63335.6765
NSGA_III,350,6,63335.6765
NSGA_III,400,7,24404.4503
NSGA_III,450,8,22196.6625
NSGA_III,500,9,22196.6625
NSGA_III,550,10,21763.6118
NSGA_III,600,11,21763.6118
NSGA_III,650,12,4335.5994
NSGA_III,700,13,3986.3838
NSGA_III,750,14,3986.3665
NSGA_III,800,15,3963.7349
NSGA_III,850,16,1102.9872
NSGA_III,900,17,962.6311
NSGA_III,950,18,939.5986
NSGA_III,1000,19,270.7731
NSGA_III,1050,20,212.3805
NSGA_III,1100,21,34.2749
NSGA_III,1150,22,4.9995
NSGA_III,1200,23,4.9149
NSGA_III,1250,24,4.8976
NSGA_III,1300,25,4.8967
NSGA_III,1350,26,4.8967
NSGA_III,1400,27,4.8834
NSGA_III,1450,28,4.8834
NSGA_III,1500,29,4.8834
NSGA_III,1550,30,4.8828
NSGA_III,1600,31,4.8828
NSGA_III,1650,32,4.8822
NSGA_III,1700,33,4.8821
NSGA_III,1750,34,4.8821
NSGA_III,1800,35,4.8769
NSGA_III,1850,36,4.8762
NSGA_III,1900,37,4.8746
NSGA_III,1950,38,4.8746
NSGA_III,2000,39,4.8726
NSGA_III,2050,40,4.8726
NSGA_III,2100,41,4.8726
NSGA_III,2150,42,4.8726
NSGA_III,2200,43,4.8726
NSGA_III,2250,44,4.8726
NSGA_III,2300,45,4.8726
NSGA_III,2350,46,4.8726
NSGA_III,2400,47,4.8726
